timestamp_utc,image_index,image_path,severity_score,status,latency_ms,rss_before_run_mb,rss_after_run_mb,rss_delta_mb,error
2026-04-02T01:56:13+00:00,1,/home/chrome/CderPiCamService/captures/ARTS_00001_r6_c2.png,0.998695,CRITICAL,201.4599,68.7148,111.6094,42.8945,
2026-04-02T01:56:13+00:00,2,/home/chrome/CderPiCamService/captures/ARTS_00020_r5_c1.png,0.999017,CRITICAL,184.4714,111.6094,122.0391,10.4297,
2026-04-02T01:56:13+00:00,3,/home/chrome/CderPiCamService/captures/ARTS_00020_r7_c3.png,0.999964,CRITICAL,183.9872,122.0391,124.0859,2.0469,
2026-04-02T01:56:13+00:00,4,/home/chrome/CderPiCamService/captures/ARTS_00023_r7_c4.png,0.999734,CRITICAL,179.6155,124.0859,124.3438,0.2578,
2026-04-02T01:56:13+00:00,5,/home/chrome/CderPiCamService/captures/ARTS_00030_r8_c6.png,1.0,CRITICAL,179.0043,124.3438,124.3438,0.0,
2026-04-02T01:56:13+00:00,6,/home/chrome/CderPiCamService/captures/ARTS_00047_r3_c1.png,0.923982,CRITICAL,181.6305,124.3438,124.3438,0.0,
2026-04-02T01:56:14+00:00,7,/home/chrome/CderPiCamService/captures/ARTS_00051_r3_c2.png,0.974047,CRITICAL,179.0401,124.3438,124.3438,0.0,
2026-04-02T01:56:14+00:00,8,/home/chrome/CderPiCamService/captures/ARTS_00073_r4_c2.png,0.999994,CRITICAL,182.1566,124.3438,124.3438,0.0,
2026-04-02T01:56:14+00:00,9,/home/chrome/CderPiCamService/captures/ARTS_00076_r6_c1.png,0.999777,CRITICAL,179.3306,124.3438,124.3438,0.0,
2026-04-02T01:56:14+00:00,10,/home/chrome/CderPiCamService/captures/ARTS_00078_r11_c6.png,0.99968,CRITICAL,178.099,124.3438,124.3438,0.0,
2026-04-02T01:56:14+00:00,11,/home/chrome/CderPiCamService/captures/ARTS_00145_r5_c2.png,0.96893,CRITICAL,180.6996,124.3438,124.3438,0.0,
2026-04-02T01:56:15+00:00,12,/home/chrome/CderPiCamService/captures/ARTS_00152_r9_c3.png,0.999086,CRITICAL,179.0405,124.3438,124.3438,0.0,
2026-04-02T01:56:15+00:00,13,/home/chrome/CderPiCamService/captures/ARTS_00166_r4_c2.png,0.99806,CRITICAL,179.6982,124.3438,124.3438,0.0,
2026-04-02T01:56:15+00:00,14,/home/chrome/CderPiCamService/captures/BMRK_00062_cell0242.png,0.90218,CRITICAL,175.5212,124.3438,124.3438,0.0,
2026-04-02T01:56:15+00:00,15,/home/chrome/CderPiCamService/captures/BMRK_00070_cell0250.png,0.957273,CRITICAL,176.6819,124.3438,124.3477,0.0039,
2026-04-02T01:56:15+00:00,16,/home/chrome/CderPiCamService/captures/BMRK_00073_cell0253.png,0.930825,CRITICAL,175.523,124.3477,124.3477,0.0,
2026-04-02T01:56:15+00:00,17,/home/chrome/CderPiCamService/captures/BMRK_00075_cell0255.png,0.931033,CRITICAL,177.0398,124.3477,124.3516,0.0039,
2026-04-02T01:56:16+00:00,18,/home/chrome/CderPiCamService/captures/BMRK_00219_cell0879.png,0.999953,CRITICAL,177.513,124.3516,124.3555,0.0039,
2026-04-02T01:56:16+00:00,19,/home/chrome/CderPiCamService/captures/BMRK_00238_cell0898.png,0.920131,CRITICAL,175.8917,124.3555,124.3555,0.0,
